sentence,aspect,category,domain,type
كنت أتناول هذه الأطعمة عندما كنت طفلاً ولا أزال أفعل ذلك في بعض الأحيان.,none,NULL,food,objective
هذا المنتج غير متوفر حتى في مدينتنا؛ وربما ليس في جزء من العالم الذي نعيش فيه!,none,NULL,food,objective
ليس لدي أي فكرة عن كيفية مقارنة هذا المنتج بالعلامات التجارية الأخرى من حيث السعر لأنه لا يتم بيعه في ولايتي.,none,food#prices,food,implicit
"جيد القهوة وهو منتج للتجارة العادلة، لذلك يمكنك أن تشعر بشعور رائع للغاية عند استنشاق الرائحة والنكهات المعقدة والبسيطة مع العلم أنك ساعدت الأرض والأشخاص عليها قليلاً بطريقتك الصغيرة.","القهوة , القهوة","food#quality , food#general",food,explicit
هذا الشاي متبل بشكل لذيذ!,الشاي,food#quality,food,explicit
لم يعجبني هذا القهوة على الإطلاق.,القهوة,food#general,food,explicit
غير قادر حقًا على التمييز من موقع Natural Balance. شكرًا.,none,NULL,food,objective
لقد شعرت بخيبة أمل في النكهة وقمت بإعداد شاي أفضل بنفسي عن طريق إضافة قطرة من نكهة حلوى اليانسون إلى الشاي الأخضر.,none,food#quality,food,implicit
"لقد تذوقت هذه القهوة لأول مرة في لافاييت، لويزيانا.",none,NULL,food,objective
"أنا لست مقتنعًا بأن الثقافة ستكون خالية من اللاكتوز، ولكن من المفترض أن تكون كذلك.",none,food#general,food,implicit
لقد أعطتني بعضًا منها كهدية في عيد الميلاد لأنها كانت تعلم أنني لا أستطيع الحصول على أي من الأشياء الأخرى التي كان الناس يحضرونها.,none,NULL,food,objective
إنه يصنع كوبًا شهيًا بدون طعم مرير.,none,food#quality,food,implicit
أنا أحب إعادة الاستخدام وعدم الهدر وفي هذا الصدد فإن المنتج My - Kap هو منتج جيد بسعر منخفض.,"My - Kap , My - Kap","food#general , food#prices",food,explicit
"تجنبه قدر الإمكان، ولكن ليس إهدارًا كاملاً.","none , none","food#recommendation , food#general",food,implicit
إنه يعمل بشكل مثالي .,none,food#quality,food,implicit
قطتي تحب طعام القطط Fancy Feast.,طعام القطط Fancy Feast,food#general,food,explicit
يجب أن أصفيها ثلاث مرات.,none,NULL,food,objective
الآن أتمنى أن تحصلوا على بسكويت أوريو,none,NULL,food,objective
"بالطبع، هذه ستكون مشكلتي إذا كان الوصف دقيقًا، لكنه ليس كذلك.",none,NULL,food,objective
"أبحث عنه بسعر أرخص على الإنترنت، ولكن يا رب، 6.",none,NULL,food,objective
"كانت الحقيبة أصغر مما توقعت، ولكن ربما يكون هذا مجرد سوء تقدير مني للأشياء.",none,food#style_options,food,implicit
من بين جميع الحبوب الساخنة الأخرى من Bob's Red Mill هذا هو المفضل لدي.,none,NULL,food,objective
"نحن الاثنان من المعجبين بقهوة البندق منذ البداية، لذا كان هذا مثاليًا.",none,food#general,food,implicit
لذا جرب هذه اللذيذة قطع الجبن اليوم! : ),قطع الجبن,food#quality,food,explicit
صفقة رائعة لجودة هذا ملح الهيمالايا!,"ملح الهيمالايا , ملح الهيمالايا","food#quality , food#prices",food,explicit
لا يحتاج إلى سكر .,none,NULL,food,objective
"اعتقدت أن هذا كان جيدًا، ولكن عندما جربت هذا، أدركت أن هناك فرقًا كبيرًا من حيث الجودة بين الاثنين.",none,NULL,food,objective
أنا لا أتفق مع المراجعات الإيجابية.,none,NULL,food,objective
العنصر المعروض في الصفحة ليس هو العنصر الذي تلقيته.,none,shipment#quality,food,implicit
"إذا كنت تشعر بالملل من شرب الماء، فحاول تجربة التلميح",none,NULL,food,objective
حصلنا على 35 كوبًا وتكرارًا واحدًا.,none,NULL,food,objective
لقد وجدت أن هذه أيضًا هي أفضل طريقة للحصول عليها.,none,food#general,food,implicit
حقيقة أنها عضوية ومحلاة بعصير قصب طبيعي بدلاً من إضافة السكر مثل النوع الموجود في متاجر البقالة ذات العلامات التجارية يجعلها أفضل.,none,food#quality,food,implicit
"طعم الرويبوس الخام، بدون هذه ""التحسينات"" مثل الفانيليا، هو كامل الجسم وله طعمه الفريد.",none,food#quality,food,implicit
"المنتج  جيد جدًا، ولكن إجبارك على ترك المراجعات/التعليقات يمنعك حتى من الحصول على مراجعة بثلاث نجوم.",المنتج,food#general,food,explicit
"هذا هو 325 ملغ من سترات المغنيسيوم فقط، وهو لاذع حقا !!",none,food#quality,food,implicit
"ومع ذلك، أشعر أن هناك آخرين قد يقدرون القهوة الخفيفة.",none,food#general,food,implicit
إنه رائع للكعك الصغير أو الكعك القياسي ؛ ومن الممتع إضافة الفاكهة في الأعلى مثل الفراولة.,none,food#style_options,food,implicit
هذه ليست ساخنة جدًا.,none,food#quality,food,implicit
كان هذا الشراء بلا طعم ولا نكهة.,none,food#quality,food,implicit
ومنتجاتهم رائعة .,منتجاتهم,food#general,food,explicit
جودة ممتازة منتج يعمل كما هو معلن عنه - شكرًا لك على إنشائه !!,منتج,food#quality,food,explicit
كان هذا الشاي جيد جداً .,none,food#general,food,implicit
اعتقدت أن هذا كان كوبًا لذيذًا من القهوة بشكل استثنائي - على قدم المساواة مع القهوة التي تم تحضيرها في آلة صنع القهوة.,none,food#quality,food,implicit
يظهر الصندوق بسرعة كبيرة إذا كان لديك خدمة الشحن Prime من UPS.,none,shipment#delivery,food,implicit
أنت تعرف كيف تسير الأمور مع وجبات خفيفة للكلاب - في بعض الأحيان يأكلها كلبك على الفور ويهز ذيله - وفي أحيان أخرى سيكون عنيدًا جدًا بشأنها لذلك عليك ترك الوجبات الخفيفة في طبقه بجوار وعاء الماء الخاص به.,none,NULL,food,objective
أنا أحب النكهة كثيرا,none,food#quality,food,implicit
"نحن نحب هذه الكرز، لقد كنت أشتريها لعدة سنوات.",الكرز,food#general,food,explicit
الثالث لم يقرر بعد .,none,NULL,food,objective
أنا لست من محبي القهوة كثيرًا ولكن هذه العلامة التجارية Wolfgang Vienna جيدة.,Wolfgang Vienna,food#general,food,explicit
أعتقد أن الأمر يعتمد فقط على ذوقك.,none,NULL,food,objective
إن حقيقة أنها عضوية ومصنوعة من الشعير هي ميزة كبيرة أيضًا.,none,food#quality,food,implicit
"أحصل على مجموعة متنوعة من النكهات، ولا يوجد نكهة واحدة لا يتم استنشاقها.",none,food#quality,food,implicit
يستمر الناس في مقارنة أسعار الصناديق المختلفة دون مراعاة عدد الأكواب.,none,NULL,food,objective
من المثالي أن تأتي في عبوة مكونة من 12 قطعة.,none,food#style_options,food,implicit
وأعطيها أيضًا طعام نيومان الجاف للكلاب مرتين يوميًا.,none,NULL,food,objective
فائز!,none,NULL,food,objective
"لا تزال جيدة بالنسبة لي، ومع ذلك، سأستمر في تناولها حتى تنتهي الحقيبة.",none,NULL,food,objective
إنه مجرد منتج عالي الجودة منتج.,منتج,food#quality,food,explicit
لذيذة صلصة الشواء .,صلصة الشواء,food#quality,food,explicit
"إذا كنت تستمتع بالحصول على النشوة الفموية بعد النشوة الفموية، فسوف تقع في حب Hello Pandas.",Hello Pandas,food#general,food,explicit
رقائق الشوكولاتة وزيت جوز الهند تذوب معًا ثم يتم تجميدها في قوالب مكعبات الثلج.,زيت جوز الهند,food#style_options,food,explicit
"إن matcha الموجودة بالأسفل تكتسب بالتأكيد نكهة ترابية، ولا يسعني إلا أن أتساءل عما إذا كانت التوابل ليست على الأقل جزئيًا من matcha التي تجلبها نكهة الفستق إلى المقدمة.",matcha,food#quality,food,explicit
كانت الكمية التي تناولتها في علبة أخرى مالحة للغاية بالنسبة لذوقي وتبلغ أكثر من نصف الحد الشخصي الذي أتناوله وهو 1500 ملجم من الصوديوم يوميًا.,none,food#quality,food,implicit
ليس صادقا مع عملائه .,none,food#general,food,implicit
مزيج الزبيب والشوكولاتة الداكنة رائع!,none,food#quality,food,implicit
كلابي تحب هذه الأطعمة حقًا!,none,food#general,food,implicit
"أعتقد أنه يمتلك تأثير مدر للبول وربما ملين، ومن المفترض أنه مفيد للكبد.",none,food#general,food,implicit
سأخبرك كيف أحب كعكة الفاكهة كلاكتون.,كعكة الفاكهة كلاكتون,food#general,food,explicit
تنحّى جانباً أيها المصاصات المثيرة للاشمئزاز المليئة بالمواد الكيميائية / الصبغة!,none,NULL,food,objective
انا سعيد .,none,food#general,food,implicit
هذا هو السبب وراء 4 نجوم,none,NULL,food,objective
لقد أكلت للتو العلبة الأخيرة.,none,food#general,food,implicit
كانت الكاجو كبيرة وقليلة جدًا من المكسور.,الكاجو,food#style_options,food,explicit
مقزز تماما!,none,food#general,food,implicit
"من المؤكد أنه يأكل أحيانًا الجزر والبازلاء والفاصوليا الخضراء، لكنه يأكلها بالفعل.",none,NULL,food,objective
ولكن .......... عند التعرفة الحالية ( 9 أبريل 2010 ) البالغة 7 دولارات.,none,food#prices,food,implicit
يسعدني أن وجدته هنا!,none,amazon#availability,food,implicit
كل من جرب هذا المنتج أعجب بالنكهة.,none,food#general,food,implicit
ايرين,none,NULL,food,objective
لذيذ جداً .,none,food#quality,food,implicit
"لكن البائع كان بطيئًا جدًا في الخدمة، اعتقدت أنه لن يصل إلى هنا أبدًا.",none,shipment#delivery,food,implicit
إنها متبلة بشكل جيد مع كمية وفيرة من الفلفل الأسود.,none,food#quality,food,implicit
وأنا أيضا أحب أنهم يبدو أنهم يذوبون في فمه بسرعة كبيرة.,none,food#general,food,implicit
أخبرني أنهم استخدموا ماء جوز الهند ليحل محل بلازما الدم في الحرب العالمية الثانية.,none,NULL,food,objective
"مكسرات مقرمشة، فواكه لذيذة، زبادي لذيذ!",none,NULL,food,objective
أفضل نوعين من القهوة في العالم (برأيي المتواضع) هما كونا وجامايكا بلو ماونتن.,كونا وجامايكا بلو ماونتن,food#quality,food,explicit
لقد استخدمت هذا المنتج في بار التوفي الذي قمت بخبزه.,المنتج,food#general,food,explicit
"إنه يتمتع بطعم خفيف منعش، لكنه لا يحتوي على ذلك الطعم العشبي الذي يجعلك تشعر وكأنك تشرب شيئًا كان جزءًا من حديقتك.",none,food#quality,food,implicit
سأبحث في مكان آخر - لم أعد أرغب في دفع سعر أعلى مقابل منتجات متوسطة الجودة .,المنتج,food#general,food,explicit
"لحسن الحظ، الشخص الذي اشتريت له لا يمانع، ولكن احذر من أن هذا ليس العنصر الفعلي الذي يظهرونه على صفحة الشراء.",none,NULL,food,objective
"إنه لذيذ، ويأتي في صناديق أصغر (هل يريد أحد التحكم في الحصص؟) ولا يمكنك التغلب على هذا السعر أمازون.","none , أمازون","food#quality , amazon#prices",food,mixed
أعطاني أحد أصدقائي عبوة واحدة لقطتي.,none,NULL,food,objective
"أفضل فائدة هي أن ""مشاكل البطن"" أصبحت أفضل بكثير.",none,food#general,food,implicit
"أنا وخطيبي نحب صنع المشروبات، فهي تجعلنا نشعر بأننا مميزون :)",none,NULL,food,objective
"بدلاً من ذلك، هناك فقط الفراولة الاصطناعية وقليلاً من الطعم اللاذع.",none,food#quality,food,implicit
"أحب هذه الأكياس القابلة لإعادة الإغلاق، لأن الباندا تميل إلى الجفاف. هذه هي المشكلة التي أجدها مع الصناديق، حتى بعد إغلاقها بشكل صحيح.",none,food#general,food,implicit
اشتريته لغرض النقل بعد استخدامه ولكن هذا غير ممكن.,none,NULL,food,objective
"هذه العظام تدوم معه إلى الأبد، على الأقل لمدة 3 - 4 أشهر في المرة الواحدة.",العظام,food#general,food,explicit
"إنه جيد، جيد حقًا!",none,food#general,food,implicit
"لكن بالنسبة لي، فإن جهاز Keurig يمكنه صنع كوب من القهوة، وكوب من القهوة منزوعة الكافيين، وكوب من الشاي في أقل من ثلاث دقائق.",none,NULL,food,objective
طعم وملمس جيدان ولا يتغلب الفلفل أو القيقب على هذا لحم مقدد.,"لحم مقدد , لحم مقدد","food#quality , food#style_options",food,explicit
"على الرغم من الإعجاب الأولي بالزهور الزرقاء الجميلة، إلا أن هذا شراء مؤسف.","none , none","food#general , food#style_options",food,implicit
يمكنك جعلها حلوة حسب رغبتك أو عدم إضافة أي سكر على الإطلاق.,none,food#general,food,implicit
أفضل البطاطس المهروسة التي تناولتها على الإطلاق,البطاطس المهروسة,food#general,food,explicit
أبحث عن عظام جلدية خام مثل هذه المصنوعة في الولايات المتحدة الأمريكية.,none,NULL,food,objective
"مذاقه جيد وهو جيد للترطيب والإلكتروليتات، على الرغم من أنه يمكنك تناول الماء النقي العادي وإضافة بعض المعادن وعصير الليمون أو الخضار للحصول على فوائد مماثلة.",none,food#quality,food,implicit
أحب استخدام الخل بدلاً من الماء معه لأنني أعتقد أن مذاقه أفضل بهذه الطريقة,none,food#quality,food,implicit
"إنها ناعمة ولذيذة المذاق، وتأتي أيضًا مع الكثير من السوائل.","none , none , none","food#style_options , food#quality , food#general",food,implicit
وصل في الوقت المناسب .,none,shipment#delivery,food,implicit
"السلبيات - يتم مضغها بسهولة، وبالتالي، من المرجح أن ينتهي منها كلبك بسرعة.",none,food#general,food,implicit
إنها لذيذة حقًا ويمكنك توفير دولار واحد لكل كيس من خلال أمازون مقابل .,"none , أمازون","food#quality , amazon#prices",food,mixed
"لقد تم دهنها جميعًا أو تم تلطيخها بنكهة البط - لقد تركها كلبي، الذي كان متحمسًا للغاية عادةً للحصول على إحدى هذه الأطعمة، على الأرض دون أن يمسها.",none,food#quality,food,implicit
"لقد قضمت أول قطعة بريتزل خالية من الغلوتين بخوف، لكنها جيدة!",بريتزل خالية من الغلوتين,food#general,food,explicit
أعتقد أنه قد يسبب اضطراب في المعدة.,none,food#general,food,implicit
لقد تبرعت بزجاجاتي.,none,NULL,food,objective
هذه هي القهوة الوحيدة التي أطلبها لجهاز Keurig الخاص بي.,none,food#general,food,implicit
وهذا يعتبر ربح اضافي لهم,none,NULL,food,objective
لا يوجد طعم لاحق أيضاً.,none,NULL,food,objective
"لقد جربت الحانات الفاخرة، والحانات المحلية، والحانات المصبوبة يدويًا، والحانات العضوية، وكل شيء تقريبًا، وهذا هو المفضل لدي.",none,food#general,food,implicit
"جيد جدًا، سأفعل هذا مرة أخرى.",none,food#general,food,implicit
سأشتريها مرة أخرى بهذه الكمية.,none,food#recommendation,food,implicit
أنا فقط أتساءل هل حصلت على دفعة سيئة من التين.,none,NULL,food,objective
إنهم يقدمون وجبة تحتوي على دجاج مطبوخ مع كالاماتا والتي ستذهلك.,none,food#style_options,food,implicit
كانت النكهات ممتعة إلى حد ما وذكرتني بالرقائق على متن رحلات الخطوط الجوية عندما يكون الاختيار بين الرقائق أو البسكويت المملح.,none,food#quality,food,implicit
سأستمر بشراء هذا المشروب اللذيذ أينما أستطيع العثور عليه.,none,food#general,food,implicit
انه يحبهم!,none,NULL,food,objective
"ما تلقيته كان يحتوي على قائمة مكونات مختلفة تمامًا، بما في ذلك أشياء معينة لا أتناولها (مثل السكرالوز / السبليندا).",none,food#general,food,implicit
"ومع ذلك، فهو طاغٍ حقًا، وعلى الرغم من أنه يتمتع بنكهة دخانية لائقة، إلا أن الملح أكثر من اللازم.",none,food#quality,food,implicit
قيل لي أنني سأحصل على استرداد المبلغ ولكن البريد الإلكتروني من أمازون يشير إلى أنه سيتم إرسال بديل.,أمازون,shipment#delivery,food,explicit
"لم أتمكن من تذوق الديدان، لأنه عندما وصلوا إلي، كانت العبوة مفتوحة والديدان كلها موجودة في صندوق الكرتون!","none , none","food#quality , shipment#quality",food,implicit
حتى أن أطفالي جميعًا يحبونه.,none,food#general,food,implicit
أفضل صلصة اشتريتها على الإطلاق .,none,food#general,food,implicit
أنا أحب رائحة الدا-أوو.,none,NULL,food,objective
لقد جربنا العديد من أنواع الجبن الأزرق المختلفة على شرائح اللحم المشوية في نيويورك.,none,NULL,food,objective
أنا أستمتع بهذا المنتج ولكن لن أشتريه مرة أخرى بسبب القمح.,none,food#general,food,implicit
"أنا أحب مزيج الخبز الخاص بـ Pamela لكل شيء تقريبًا، ولكن Bob هو مزيج الفطائر المفضل لدي بالتأكيد.","مزيج الخبز الخاص بـ Pamela , Bob","food#general , food#general",food,explicit
"لقد كان رائعا، حتى هطل المطر.",none,food#general,food,implicit
"لقد فوجئت تمامًا بطعمهم، الذي كان جيدًا جدًا.",none,food#quality,food,implicit
"في الواقع لم أستخدم هذا الإصدار، أنا أستخدم Rose Pride Aerosol و Organic RX 3 in 1، والذي لا يحتاج إلى خلط ويمكن رشه مباشرة من العلبة.",none,NULL,food,objective
إنه انتقائي للغاية ويجب أن أعترف أن طعمها أفضل من البريتزل العادي.,none,food#quality,food,implicit
"قم بشراء هذا المنتج للجميع في KFORDHEALTH CARE STAFFING، وغني عن القول أنهم يحبونه.",none,food#general,food,implicit
كريم بروليه من كوفي ماسترز هو متعة حقيقية!,كريم بروليه من كوفي ماسترز,food#quality,food,explicit
كمية كبيرة من الملح .,none,food#quality,food,implicit
أحب هذا المنتج .,المنتج,food#general,food,explicit
اكتشفت الآن أن هذا المنتج غير مؤهل للإرجاع .,المنتج,food#general,food,explicit
إنها مثالية للكلاب متوسطة الحجم التي لديها قدرة قوية على المضغ.,none,food#general,food,implicit
شكرًا لك .,none,NULL,food,objective
أنا أحب كعك القمع ولكن كنت خائفة من أن هذا لن يكون مذاقه مثل الشيء الحقيقي في الكرنفالات. أحبه الأصدقاء والعائلة!,none,food#general,food,implicit
"إنه ليس شيئًا أرغب فيه بسبب مذاقه، ولكن بالنسبة لمشروب البروتين فهو جيد جدًا حقًا!",none,food#general,food,implicit
أنا متأكد من أنني سأشتري هذا المنتج في المستقبل.,none,food#general,food,implicit
أطلب بعضًا منها على أمازون وأقوم بتوصيلها إلى منزلها.,أمازون,shipment#delivery,food,explicit
استمتع كثيرًا.,none,NULL,food,objective
اختيار جيد كـ قهوة لن يكرهها أحد ولكنها ليست ذات نكهة لأولئك الذين يحبون الاستيقاظ القوي حقًا.,قهوة,food#general,food,explicit
واحدة من المفضلة لدي .,none,food#general,food,implicit
لذا فهم يستمرون في القدوم الآن وأنا أستمتع بـ أشرطة ثلاثية كل مساء كجزء من وجبتي الخفيفة قبل النوم.,أشرطة ثلاثية,food#general,food,explicit
كان له نكهة خفيفة ولكنها قوية بما يكفي بالنسبة لي لدرجة أنني أستطيع شربه في الصباح واحتساء كوب بعد الظهر عندما أشعر بالخمول.,none,food#quality,food,implicit
"أثناء بحثي عن جذر الهندباء، صادفت الكثير من الادعاءات المختلفة والمتناقضة في بعض الأحيان، والتي لا يبدو أن أيًا منها مدعوم بأي بحث جاد.",جذر الهندباء,food#general,food,explicit
غير متوفر في السوبر ماركت .,none,NULL,food,objective
قطتي تتجاهل هذه النكهة تمامًا.,none,food#quality,food,implicit
لقد كانت رطبة ولذيذة للغاية.,none,food#quality,food,implicit
لذا اشتريتها من خلال أمازون واسمحوا لي أن أخبركم أن هذه هي الطريقة الوحيدة التي سأشتري بها هذه المنتجات مرة أخرى.,أمازون,amazon#availability,food,explicit
"حسنًا، نعم، أوافق، على الرغم من أنني كنت سأعطي هذا المنتج الممتاز طعام القطط أعلى تقييم.",طعام القطط,food#general,food,explicit
لا أحد ينتقد التفاحة لأنها لا تشبه البرتقال في طعمها.,none,NULL,food,objective
لا حاجة للحليب!,none,food#style_options,food,implicit
لذا أنا عالق مع 3 أكياس من الشوكولاتة الساخنة.,none,NULL,food,objective
فقط ما أحتاجه .,none,food#general,food,implicit
النكهة تشبه كعكة التوت الأزرق أكثر من التوت الأزرق الحقيقي.,none,food#quality,food,implicit
"هو عبارة عن ""شوربة"" من الجبن والمعكرونة.",none,food#quality,food,implicit
هذا مشروب لذيذ جدًا ويحتوي على كمية مناسبة من النكهات.,none,food#quality,food,implicit
"لقد انتهى الأمر تقريبًا وحتى الآن، كل الأسود ليس عرق السوس (وهذه هي النكهة الجيدة مقارنة بالآخر، يا له من أمر مقزز!) وينطبق نفس الشيء على الأبيض ولم يتبق سوى زوج واحد من اللون الأزرق ليتم لعبه : (",none,food#quality,food,implicit
استخدم فقط حوالي 1/3 الكمية للحصول على نفس القوة.,none,food#quality,food,implicit
لا تشتري إلا إذا كنت متأكدًا من أنك تحصل على المنتج غير المغشوش.,none,NULL,food,objective
أنا لا أحب جميع المكونات ولكن أعتقد أنني يجب أن أتعايش معها. أعمل بجد للحفاظ على أسنان كلابي نظيفة.,none,food#general,food,implicit
منظف المجاري ؟,none,NULL,food,objective
"كما أنها رائعة أيضًا لإعطاء الحبوب، حيث تتلاءم بشكل مريح في المنتصف ويتم تناولها على الفور دون تفكير ثانٍ.",none,food#general,food,implicit
"لقد استخدمت هذا المنتج لسنوات عديدة، وأنا سعيد لأنه موجود على أمازون!",أمازون,amazon#availability,food,explicit
"بعد قراءة المراجعة الأخرى لهذا الطعام الرائع للقطط، تساءلت لماذا قرر المراجع السابق إعطائه أقل من 5 نجوم؟",none,NULL,food,objective
سأوصي بهذا المنتج بالتأكيد المنتج !!!,المنتج,food#recommendation,food,explicit
موصى به بشدة .,none,food#recommendation,food,implicit
لقد تلقت أختي هذه الهدية في عيد ميلادها.,none,NULL,food,objective
هذه هي التحميص المتوسط المثالي K - كوب.,K - كوب,food#general,food,explicit
"نظرًا لأن أي قطة لا تأكل علبة كاملة في جلسة واحدة، فإن تلك الكائنات المسكينة التي اضطرت إلى ""الاكتفاء"" بسمك السلمون المرقط أو ما شابه ذلك تتجول لاحقًا وتحصل على نصيبها العادل من الحساء.",none,NULL,food,objective
هذا هو المفضل لدي مزيج الفطائر الخالية من الغلوتين حتى الآن.,مزيج الفطائر الخالية من الغلوتين,food#general,food,explicit
لقد كنت مخطئا .,none,food#general,food,implicit
هذه هي أفضل مذاق كوكيز على الإطلاق!,كوكيز,food#quality,food,explicit
"كنت أقوم بحفر جذور رقيقة أو ""تقشير"" بعض الأشجار للحصول على شاي لذيذ.",none,NULL,food,objective
أشرب 3 - 4 أكواب يوميًا ببساطة لأنه لا يوجد شيء آخر له طعم جيد مثل هذا.,none,food#quality,food,implicit
"اعتقدت أن الاثنين معًا يشكلان هدية ""راحة دافئة"" لبعض الأمسيات الشتوية الباردة.",none,food#general,food,implicit
كوب لائق وقوي مع نكهة التحميص الإيطالي أو الفرنسي.,none,food#general,food,implicit
