domain,text,aspect,category,polarity,type
food,i ' m sure this is more like 75 % pear with a dash of veggies but it ' s better than nothing .,none,['food#quality'],['positive'],implicit
food,i love that the bar was soft and chewy .,"['bar', 'bar', 'bar']","['food#general', 'food#style_options', 'food#style_options']","['positive', 'positive', 'positive']",explicit
food,not as tough like a fruit leather .,none,['null'],['null'],objective
food,i use to eat these as a kid and still do on occasion .,none,['null'],['null'],objective
food,this particular product isn ' t even available in our town ; probably not in our part of the world !,none,['null'],['null'],objective
food,i have no idea how to compare this to other brands price - wise because it is not sold in my state .,none,['food#prices'],['neutral'],implicit
food,good coffee and its a fair trade product so you can feel extra great inhaling the scent and complex yet simple flavors yet knowing you ' ve helped the earth and the people on it a bit in your small way .,"['coffee', 'coffee']","['food#quality', 'food#general']","['positive', 'positive']",explicit
food,this tea is delightfully spiced !,['tea'],['food#quality'],['positive'],explicit
food,i didn ' t like this coffee at all .,['coffee'],['food#general'],['negative'],explicit
food,not really able to discern from the natural balance website . thanks .,none,['null'],['null'],objective
food,i was disappointed in the flavor and i have made better tea myself by adding a drop of anise candy flavoring to green tea .,none,['food#quality'],['negative'],implicit
food,"i first tasted this coffee in lafayette , la . . .",none,['null'],['null'],objective
food,"i ' m not convinced that will culture without the lactose present , but supposedly it will .",none,['food#general'],['positive'],implicit
food,she even gave me some for christmas because she knew i couldn ' t have any of the other goodies people were bringing by .,none,['null'],['null'],objective
food,it makes a hearty cup with no bitter aftertaste .,none,['food#quality'],['positive'],implicit
food,i do like to reuse and not waste and in this regard the my - kap product is a good one for a low price .,"['my - kap', 'my - kap']","['food#general', 'food#prices']","['positive', 'positive']",explicit
food,"avoid if possible , but not a total waste .",none,"['food#recommendation', 'food#general']","['negative', 'neutral']",implicit
food,it works perfectly .,none,['food#quality'],['positive'],implicit
food,my cat loves fancy feast catfood .,['fancy feast catfood'],['food#general'],['positive'],explicit
food,i have to strain it 3 times .,none,['null'],['null'],objective
food,now i hope u guys get those oreo o ' s,none,['null'],['null'],objective
food,"of course , that would be my problem if the description was accurate , but it ' s not .",none,['null'],['null'],objective
food,"looking for it cheaper on line , but lordy , 6 .",none,['null'],['null'],objective
food,"the bag was smaller than i expected , but that ' s probably just me being bad at estimating things .",none,['food#style_options'],['negative'],implicit
food,of all the other hot cereals by bob ' s red mill this one is my favorite .,"[""bob ' s red mill""]",['food#general'],['positive'],explicit
food,we ' re both a big fan of hazelnut coffee to begin with so this was perfect .,none,['food#general'],['positive'],implicit
food,so try these yummy cheese bites today ! : ),['cheese bites'],['food#quality'],['positive'],explicit
food,great deal for the quality of this himalayan salt !,"['himalayan salt', 'himalayan salt']","['food#quality', 'food#prices']","['positive', 'positive']",explicit
food,needs no sugar .,none,['null'],['null'],objective
food,"i thought that one was ok , but when i tried this one , i realized there was a huge difference in terms of quality between the two .",none,['null'],['null'],objective
food,i disagree with the positive reviews .,none,['null'],['null'],objective
food,the item shown on the page is not the item i received .,none,['shipment#quality'],['negative'],implicit
food,if you get bored drinking water try hint,none,['null'],['null'],objective
food,we got 35 cups and one 1 repeat .,none,['null'],['null'],objective
food,i have found this is also the best way to obtain them .,none,['food#general'],['positive'],implicit
food,the fact that they are organic and are sweetened with natural cane juice rather than added sugar like the name brand grocery store type makes them even better .,none,['food#quality'],['positive'],implicit
food,"the raw rooibos taste , without these "" improvements "" such as vanilla , is full - bodied and has its own unique taste .",none,"['food#quality', 'food#quality']","['positive', 'positive']",implicit
food,"the product is just ok , but being hounded to leave reviews / feedback prevents even a three star review .",['product'],['food#general'],['neutral'],explicit
food,"this is 325mg magnesium citrate only , and it is really tart ! !",none,['food#quality'],['negative'],implicit
food,"i do feel there are others , though , who would appreciate a coffee lite .",none,['food#general'],['neutral'],implicit
food,it ' s great for cupcakes or standard cakes ; and it ' s fun to add fruit on top such as strawberries .,none,['food#style_options'],['positive'],implicit
food,these are not very hot .,none,['food#quality'],['negative'],implicit
food,this purchase was bland and had no flavor .,none,['food#quality'],['negative'],implicit
food,and their products are fantastic .,['products'],['food#general'],['positive'],explicit
food,an excellent good quality product that works as advertised - thank you for creating it ! !,['product'],['food#quality'],['positive'],explicit
food,this tea was very good .,none,['food#general'],['positive'],implicit
food,i thought this was an exceptionally tasty cup of coffee - on par with coffee that has been brewed in a coffee maker .,none,['food#quality'],['positive'],implicit
food,a box shows up really fast ups if you have prime shipping .,none,['shipment#delivery'],['positive'],implicit
food,you know how it goes with dog snacks - sometimes your dog will eat them right away and wag his tail - other times he ' ll be really stubborn about it so you have to leave the treats on his plate by his water bowl .,none,['null'],['null'],objective
food,i like the flavor so much,none,['food#quality'],['positive'],implicit
food,"we love these cherries , i have been buying them for a couple of years .",['cherries'],['food#general'],['positive'],explicit
food,the third just hasn ' t decided yet .,none,['null'],['null'],objective
food,not much of a coffee drinker but this wolfgang vienna brand is good .,['wolfgang vienna'],['food#general'],['positive'],explicit
food,i guess it just depends on your taste .,none,['null'],['null'],objective
food,the fact that they ' re organic and made with spelt is a big plus also .,none,['food#quality'],['positive'],implicit
food,"i get the assorted flavors , and there is not one that doesn ' t get inhaled .",none,['food#quality'],['positive'],implicit
food,people keep comparing the price of different boxes without accounting for the cup - count .,none,['null'],['null'],objective
food,it ' s ideal they come in a 12 pack .,none,['food#style_options'],['positive'],implicit
food,i also give her newman ' s dry dog food twice a day .,none,['null'],['null'],objective
food,a winner !,none,['null'],['null'],objective
food,"they are still good for me , however , so i will continue to eat them until the bag is finished .",none,['null'],['null'],objective
food,it is just a top quality product .,['product'],['food#quality'],['positive'],explicit
food,delicious bbq sauce .,['bbq sauce'],['food#quality'],['positive'],explicit
food,"if you enjoy having mouthgasm after mouthgasm , you ' ll fall in love with hello pandas .",['hello pandas'],['food#general'],['positive'],explicit
food,chocolate chips and coconut oil melted together and then frozen in ice cube trays .,['coconut oil'],['food#style_options'],['positive'],explicit
food,"the matcha underneath definitely takes on an earthy flavor , and i can ' t help but wonder if the spiciness isn ' t at least in part from the matcha that the pistachio flavoring is just bringing to the foreground .","['matcha', 'matcha']","['food#quality', 'food#quality']","['positive', 'positive']",explicit
food,the amount that i ate in another can was way too salty for my taste and amounts to more than half of my personal limit of 1500 mg sodium per day .,none,"['food#quality', 'food#quality']","['negative', 'negative']",implicit
food,not honest to their costumer .,none,['food#general'],['negative'],implicit
food,the combo of raisons and dark choc is wonderful !,none,['food#quality'],['positive'],implicit
food,my dogs just love these treats !,none,['food#general'],['positive'],implicit
food,"i believe it does have a diuretic and possibly laxative effect , and it is supposedly good for the liver .",none,['food#general'],['positive'],implicit
food,i ' ll tell you how i love claxton fruitcake .,['claxton fruitcake'],['food#general'],['positive'],explicit
food,move over disgusting chemical / dye laden lollipops !,none,['null'],['null'],objective
food,i ' m happy .,none,['food#general'],['positive'],implicit
food,that ' s the reason for 4 stars,none,['null'],['null'],objective
food,i just ate the last can .,none,['food#general'],['positive'],implicit
food,the cashews were big & very few broken .,['cashews'],['food#style_options'],['positive'],explicit
food,absolutely gross !,none,['food#general'],['negative'],implicit
food,"granted sometimes he eats around the carrots , peas and green beans , but he does eat them .",none,['null'],['null'],objective
food,but . . . . . . at the current ( 9 april 2010 ) tarriff of $ 7 .,none,['food#prices'],['neutral'],implicit
food,glad i found it here !,none,['amazon#availability'],['positive'],implicit
food,everyone who tried this was impressed with the flavor .,none,['food#general'],['positive'],implicit
food,irene,none,['null'],['null'],objective
food,very tasty .,none,['food#quality'],['positive'],implicit
food,the seller however was a very slow service i thought it would never get here .,none,['shipment#delivery'],['negative'],implicit
food,they are nicely seasoned with ample black pepper .,none,['food#quality'],['positive'],implicit
food,i also like that they seem to melt in his mouth pretty quickly .,none,['food#general'],['positive'],implicit
food,he told me that they used coconut water to replace blood plasma in world war ii .,none,['null'],['null'],objective
food,"crunchy nuts , chewy fruits , luscious yogurt !",none,['null'],['null'],objective
food,the two best coffees in the world ( in my humble opinion ) are kona and jamaican blue mountain .,['kona and jamaican blue mountain'],['food#quality'],['positive'],explicit
food,i used this product in a toffee bar that i baked .,['product'],['food#general'],['positive'],explicit
food,"it has a fresh mild taste , but does not have that grassy taste like you ' re drinking something that was part of your lawn .",none,['food#quality'],['positive'],implicit
food,i will be looking elsewhere - - no longer wanting to pay premium price for mediocre products .,['products'],['food#general'],['negative'],explicit
food,"fortunately , the person i bought it for doesn ' t mind , but beware that it is not the actual item they show on the buying page .",none,['null'],['null'],objective
food,"it ' s yummy , comes in smaller boxes ( portion control anyone ? ! ) and you can ' t beat this price on amazon .","['null', 'amazon']","['food#quality', 'amazon#prices']","['positive', 'positive']",mixed
food,a friend of mine gave me one pack for my kitty .,none,['null'],['null'],objective
food,"the best benefit is that the "" tummy problems "" are so much better .",none,['food#general'],['positive'],implicit
food,"my fiance and i love making the drinks , it makes us feel special : )",none,['null'],['null'],objective
food,"instead , there ' s just artificial strawberry and a bit of tang .",none,['food#quality'],['negative'],implicit
food,"love these resealable bags , since pandas do tend to dry out . this is the problem i find with the boxes , even after you close them properly .",none,['food#general'],['positive'],implicit
food,"i bought it for the purpose of transporting after using it , but it ' s not possible .",none,['null'],['null'],objective
food,"these bones last him forever , at least 3 - 4 months at a time .",['bones'],['food#general'],['positive'],explicit
food,"it ' s good , really good !",none,['food#general'],['positive'],implicit
food,"however for me , the keurig can make a cup of coffee , a cup of decaf and a cup of tea in under three minutes .",none,['null'],['null'],objective
food,good flavor and texture neither the pepper or the maple overpowers this jerky .,"['jerky', 'jerky']","['food#quality', 'food#style_options']","['positive', 'positive']",explicit
food,"despite the initial oohing and ahing over the pretty blue flowers , this is a regrettable purchase .",none,"['food#general', 'food#style_options']","['negative', 'positive']",implicit
food,you make them as sweet as you want or add no sugar at all .,none,['food#general'],['positive'],implicit
food,the best mashed potatoes i ' ve ever had . . .,['mashed potatoes'],['food#general'],['positive'],explicit
food,i am looking for rawhide bones such as these made in the usa .,none,['null'],['null'],objective
food,"it tastes fine and is good for hydration and electrolytes , though you could take regular purified water and add some minerals and lemon or vegetable juice for similar benefits .",none,"['food#quality', 'food#quality']","['positive', 'positive']",implicit
food,i like to use vinegar instead of water with it because i think it tastes better that way,none,['food#quality'],['positive'],implicit
food,"they are soft and fresh - tasting , and also come with lots of liquid .",none,"['food#style_options', 'food#quality', 'food#general']","['positive', 'positive', 'positive']",implicit
food,arrived in a timely manner .,none,['shipment#delivery'],['positive'],implicit
food,"cons - they are easily chewed through ; thus , your dog will likely finish them quickly .",none,['food#general'],['negative'],implicit
food,they are delicious though and you save a dollar per bag through amazon vs .,"['null', 'amazon']","['food#quality', 'amazon#prices']","['positive', 'positive']",mixed
food,"all of them were basted or really more like stained in duck flavor - - my dog , who was usually so excited to get one of these treats , left it on the floor untouched .",none,['food#quality'],['negative'],implicit
food,"i bit into my first gluten - free pretzel with trepidation , but they are good !",['gluten - free pretzel'],['food#general'],['positive'],explicit
food,i think it may have caused upset stomach .,none,['food#general'],['negative'],implicit
food,i gave my bottles away .,none,['null'],['null'],objective
food,this is now the only coffee i order for my keurig .,none,['food#general'],['positive'],implicit
food,that is extra profit for them,none,['null'],['null'],objective
food,no aftertaste as well .,none,['null'],['null'],objective
food,"i ' ve tried fancy bars , local bars , hand - poured bars , organic bars , and almost everything else , and this is my favorite .",none,['food#general'],['positive'],implicit
food,"very good , will make this again .",none,['food#general'],['positive'],implicit
food,i will buy these again in this quantity .,none,['food#recommendation'],['positive'],implicit
food,i just wonder did i get a bad batch of figs .,none,['null'],['null'],objective
food,they have one with cooked chicken and kalamatas that will knock your socks off .,none,['food#style_options'],['positive'],implicit
food,the flavors were minimally pleasant and reminded me of the chips on airlines flights when the choice is chips or pretzels .,none,['food#quality'],['positive'],implicit
food,i ' ll keep purchasing this delicious drink wherever i can find it .,none,['food#general'],['positive'],implicit
food,he loves them !,none,['null'],['null'],objective
food,"what i received had a totally different ingredients list , including certain things which i don ' t eat ( like sucralose / splenda ) .",none,['food#general'],['negative'],implicit
food,"however , it really is overpowering and although it has a decent smoky flavor the salt is just way too much .",none,['food#quality'],['negative'],implicit
food,was told i would get a refund but the e - mail from amazon indicates a replacement is being sent .,['amazon'],['shipment#delivery'],['positive'],explicit
food,"i did not get to taste the worms , because when they got to me , the package was open and worms were all out in the cardboard box !",none,"['food#quality', 'shipment#quality']","['negative', 'negative']",implicit
food,even my kids all like it .,none,['food#general'],['positive'],implicit
food,the best sauce i have ever bought .,none,['food#general'],['positive'],implicit
food,i love the da - oo scence .,none,['null'],['null'],objective
food,we have tried many different blue cheeses on our grilled ny steaks .,none,['null'],['null'],objective
food,i do enjoy this product but will not be purchasing again because of the wheat .,none,['food#general'],['positive'],implicit
food,"i love pamela ' s baking mix for nearly everything else , but bob ' s is my favorite pancake mix for sure .","[""pamela ' s baking mix"", 'bob']","['food#general', 'food#general']","['positive', 'positive']",explicit
food,"it was great , until it rained .",none,['food#general'],['positive'],implicit
food,"i was quite surprised by their taste , which is very good .",none,['food#quality'],['positive'],implicit
food,"actually i haven ' t used this version , i use rose pride aerosol and the organic rx 3 in 1 , which don ' t need to be mixed and can be sprayed directly from the can .",none,['null'],['null'],objective
food,he is very picky and i have to admit that they taste better than regular pretzels .,none,['food#quality'],['positive'],implicit
food,"purchase this item for all at kfordhealth care staffing , needless to say they love it .",none,['food#general'],['positive'],implicit
food,coffee masters creme brulee is a true delight !,['coffee masters creme brulee'],['food#quality'],['positive'],explicit
food,way to much salt .,none,['food#quality'],['negative'],implicit
food,love this product .,['product'],['food#general'],['positive'],explicit
food,now i find out that this product is not eligible for return .,['product'],['food#general'],['negative'],explicit
food,they ' re perfect for medium sized dogs who are powerful chewers .,none,['food#general'],['positive'],implicit
food,thank you .,none,['null'],['null'],objective
food,i love funnel cakes but was afraid this would not taste like the real thing at carnivals . friends and family loved it !,none,['food#general'],['positive'],implicit
food,"it ' s not something i would crave because of the taste , but for a protein shake it ' s really very good !",none,['food#general'],['positive'],implicit
food,i ' m sure i ' ll be buying this product in the future .,none,['food#general'],['positive'],implicit
food,i order some on amazon and have it delivered to her house .,['amazon'],['shipment#delivery'],['positive'],explicit
food,entertain quite a bit .,none,['null'],['null'],objective
food,good choice as a coffee nobody will dislike yet not a flavor for those who like a really strong wake - up .,['coffee'],['food#general'],['positive'],explicit
food,one of my favorites .,none,['food#general'],['positive'],implicit
food,so now they keep coming and i ' m enjoying my trio bars every evening as part of my bedtime snack .,['trio bars'],['food#general'],['positive'],explicit
food,it had a mild but bold enough flavor for me that i could drink it in the am and have an afternoon cup when feeling sluggish .,none,['food#quality'],['positive'],implicit
food,"in researching dandelion root , i came across a lot of different , sometimes contradictory claims , none of which seem to be backed up by any serious research .",['dandelion root'],['food#general'],['positive'],explicit
food,it is not available in supermarkets .,none,['null'],['null'],objective
food,my cat completely ignores this flavor .,none,['food#quality'],['negative'],implicit
food,"they were so moist , and delicious .",none,['food#quality'],['positive'],implicit
food,so i purchased them through amazon and let me tell you this is the only way i ' ll ever buy these again .,['amazon'],['amazon#availability'],['positive'],explicit
food,"well , yes , i agree , although , i would have given this excellent cat food the highest rating .",['cat food'],['food#general'],['positive'],explicit
food,one doesn ' t criticize an apple because it doesn ' t taste like an orange .,none,['null'],['null'],objective
food,no milk is needed !,none,['food#style_options'],['positive'],implicit
food,so i am stuck with 3 bags of hot chocolate .,none,['null'],['null'],objective
food,just what i needed .,none,['food#general'],['positive'],implicit
food,the flavor does resemble that of a blueberry muffin more than of an actual blueberry .,none,['food#quality'],['positive'],implicit
food,"is a "" soupy "" cheese & noodles .",none,['food#quality'],['negative'],implicit
food,this is very tasty drink with the right amount of flavors .,none,"['food#quality', 'food#quality']","['positive', 'positive']",implicit
food,"it ' s almost gone and so far , all the black ones are not the licorice ( and that is the good flavor compared to the other one , ick ! ) same goes to the white ones and the there was only one pair of the blue to be played : (",none,['food#quality'],['positive'],implicit
food,you only use about 1 / 3 the quantity to get the same strength .,none,['food#quality'],['positive'],implicit
food,don ' t purchase unless you can be assured that you are getting the unadulterated product .,none,['null'],['null'],objective
food,i do not like all of the ingredients but guess i have to live with it . i work hard to keep my dogs teeth clean .,none,['food#general'],['negative'],implicit
food,drain cleaner ?,none,['null'],['null'],objective
food,"they ' re also great for administering pills , which fit snugly in the center and are immediately wolfed down , without a second thought .",none,['food#general'],['positive'],implicit
food,"i have used this product for many years , i am happy that amazon has it !",['amazon'],['amazon#availability'],['positive'],explicit
food,"after reading the other review for this wonderful cat food , i wondered why the previous reviwer had decided to give it less than 5 stars ?",none,['null'],['null'],objective
food,i would definitely recommend this product ! ! !,['product'],['food#recommendation'],['positive'],explicit
food,highly recommended .,none,['food#recommendation'],['positive'],implicit
food,my sister received this as a birthday present .,none,['null'],['null'],objective
food,this is the perfect medium roast k - cup .,['k - cup'],['food#general'],['positive'],explicit
food,"since no cat eats a whole can at one sitting , those poor things that had to "" settle "" for trout or some such later wander over and get their fair share of the stew .",none,['null'],['null'],objective
food,this is my favorite gf pancake mix so far .,['gf pancake mix'],['food#general'],['positive'],explicit
food,i was wrong .,none,['food#general'],['negative'],implicit
food,these are the best tasting cookies ever !,['cookies'],['food#quality'],['positive'],explicit
food,"i would dig tender roots or "" bark "" a few trees for a delightful tea .",none,['null'],['null'],objective
food,i drink 3 - 4 cups a day simply because nothing else tastes this good .,none,['food#quality'],['positive'],implicit
food,"i thought the two together made a "" warm comfort "" gift for some cold , winter evening .",none,['food#general'],['positive'],implicit
food,"decent , strong cup with overtones of italian or french roasts .",none,['food#general'],['positive'],implicit
food,"as noted by other reviewers , i don ' t know the eco friendliness of the packaging , since you are trading out a small plastic cup for a small plastic pouch .",none,['shipment#quality'],['negative'],implicit
food,these really do work !,none,['food#general'],['positive'],implicit
food,but i found these bars that meet it and also taste great .,['bars'],['food#quality'],['positive'],explicit
food,it was nice to have a larger size bag .,none,['food#style_options'],['positive'],implicit
food,i ' ve read elsewhere the regular caffeine users do not benefit from this kind of energy drink - -,none,['food#general'],['negative'],implicit
food,those hot days are coming soon .,none,['null'],['null'],objective
food,i enjoyed the popcorn and so did most of my roomates ( 8 ) .,['popcorn'],['food#general'],['positive'],explicit
food,i don ' t understand why my local stores don ' t carry this item .,none,['null'],['null'],objective
food,"i guess for people who like sugar added to peanut butter will like it , but i do not like it .",none,['food#general'],['negative'],implicit
food,a bigger problem is trying not to eat them all immediately .,none,['null'],['null'],objective
food,i will probably get them again for him since his teeth are really sparkling .,none,['null'],['null'],objective
food,this is the best drink to have over ice on a hot day . .,['drink'],['food#general'],['positive'],explicit
food,she said that they are absolutely beautiful !,none,['null'],['null'],objective
food,my golden retriever absolutely love these .,none,['food#general'],['positive'],implicit
food,the resealable bag keeps the product fresh .,['product'],['food#quality'],['positive'],explicit
food,if only they sold it in more places !,none,['null'],['null'],objective
food,they are small and easy to carry in your pocket .,none,"['food#style_options', 'food#general']","['neutral', 'positive']",implicit
food,3 cans equal one large container and it ' s cheaper than you can buy it in the grocery stores .,none,['food#prices'],['positive'],implicit
food,"however , the fact that there is somewhat less of a mess with the keurig pod , consumers are more apt to go with this convenience than with the recycling aspect .",none,['null'],['null'],objective
food,the flavor of ginger is strong and it packs a punch .,none,['food#quality'],['positive'],implicit
food,"there is so much wrong information about protein , hemp is a excellent source that is easily digestible and is a highly bioavailable protein .",['hemp'],['food#quality'],['positive'],explicit
food,"or , serve with coffee , juice , eggs and crumpets ( or english muffins ) foran old - time british - style breakfast , like i had on a trip to england many years ago .",none,['food#general'],['positive'],implicit
food,. . it is a delicious cereal otherwise .,['cereal'],['food#quality'],['positive'],explicit
food,it ' s amazing what a little mg can do !,none,['food#general'],['positive'],implicit
food,i was glad to find it on amazon .,['amazon'],['amazon#availability'],['positive'],explicit
food,"it doesn ' t necessarily have a bad taste , just an unexpected one .",none,['food#quality'],['negative'],implicit
food,"i love pb , but try not to eat too much because it is so calorie dense .",['pb'],['food#general'],['neutral'],explicit
food,the lime n chili flavor is my favorite with the habanero bbq being a close second .,none,['food#quality'],['positive'],implicit
food,"be warned , it does say pumpkin spice latte , so when the cup produces a foam , it was designed to do that .",['pumpkin spice latte'],['food#general'],['positive'],explicit
food,"i have long been searching for a wonderful , not - too - bitter green tea , and this one by numi has it all !","['green tea', 'green tea']","['food#general', 'food#quality']","['positive', 'positive']",explicit
food,this is chock full of trace minerals that your body needs .,none,['food#quality'],['positive'],implicit
food,i will definetly be ordering this again ! !,none,['null'],['null'],objective
food,a great buy for those who want natural peanut butter flavor without all the calories and fat .,none,['food#general'],['positive'],implicit
food,goya ' s tembleque ( puerto rican style coconut pudding ) is absolutely delicious !,"[""goya ' s tembleque""]",['food#quality'],['positive'],explicit
food,"i use this as a hair detangler out of the shower , as make - up remover , face and body moisturizer , and lip balm .",none,['null'],['null'],objective
food,"as for the taste , it is very light and a bit nutty .",none,"['food#quality', 'food#quality']","['positive', 'positive']",implicit
food,hope this helps .,none,['null'],['null'],objective
food,i don ' t like tomato soup but my wife made me try amy ' s tomato soup .,none,['null'],['null'],objective
food,"when i run out ( probably sometime next year ! ) , i will likey purchase miss vicky brand of jalapeno chips , and i plan to try the other flavors of kettle - brand chips .",none,['null'],['null'],objective
food,we received this in a dinner variety pack and tried it for the first time today .,none,['null'],['null'],objective
food,what a relief . we are happily using it again and our food has perked up !,['food'],['food#general'],['positive'],explicit
food,it has the perfect texture and taste to complement the meat and it melts perfectly .,none,"['food#style_options', 'food#quality', 'food#general']","['positive', 'positive', 'positive']",implicit
food,temptations and turkey is her favorite .,none,['food#general'],['positive'],implicit
food,it was just not for us,none,['null'],['null'],objective
food,i also thought it worked fairly quickly .,none,['food#general'],['positive'],implicit
food,this is the best lemon cookie that i have ever tasted .,"['cookie', 'cookie']","['food#general', 'food#quality']","['positive', 'positive']",explicit
food,it goes on very smooth and stays on for awhile .,none,['null'],['null'],objective
food,i am a huge fan of genisoy soy crisps ( deep sea salted flavor ) .,['genisoy soy crisps'],['food#general'],['positive'],explicit
food,pretty similar to the stuff i drank at joyful in japan .,none,['null'],['null'],objective
food,"when i need flowers again , i know where i will be ordering from .",none,['null'],['null'],objective
food,flamin ' buffalo chick + a1 are my all time favorites .,"[""flamin ' buffalo chick + a1""]",['food#general'],['positive'],explicit
food,"the texture is ok , but not what i would expect from a "" jerky "" . .",none,"['food#style_options', 'food#style_options']","['neutral', 'negative']",implicit
food,they look a bit like raisins but are plumper and sweeter .,none,['food#quality'],['positive'],implicit
food,"since they are a soft treat , you can easily break them into smaller pieces if you want .",none,['food#quality'],['positive'],implicit
food,just a 1 tsp in a half glass of water and it ' s gone .,none,['null'],['null'],objective
food,highly recommend them to all .,none,['food#recommendation'],['positive'],implicit
food,this gum tastes really great . but the flavor doesn ' t last long .,"['gum', 'gum']","['food#quality', 'food#quality']","['positive', 'neutral']",explicit
food,emeril ' s brew is excellent .,"[""emeril ' s brew""]",['food#general'],['positive'],explicit
food,it seems the almond & apricot bars were changed when they switched from the 8 pack to the 12 pack so that they added more apricot or sweetness in some way .,['almond & apricot bars'],['food#general'],['negative'],explicit
food,very disappointed in this product !,['product'],['food#general'],['negative'],explicit
food,"if you are used to eating regular peanut butter ( like jif or peter pan ) , this will probably not be palatable to you .",none,['null'],['null'],objective
food,item was a good deal .,none,['amazon#prices'],['positive'],implicit
food,great cookie .,['cookie'],['food#general'],['positive'],explicit
food,can ' t buy it anywhere near where i live but it makes the best caramel corn ever .,['caramel corn'],['food#quality'],['positive'],explicit
food,it ' s really good and family enjoy it too .,none,"['food#general', 'food#general']","['positive', 'positive']",implicit
