dataset,domain,sentence,aspect,category,type,source_dataset,language
acos,restaurants,stepped on my foot on the second time he reached over me to adjust lighting .,NULL, service general,implicit,acos,English
acos,restaurants,tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert, food style_options,explicit,acos,English
acos,restaurants,the drinks are always well made and wine selection is fairly priced .,drinks, drinks quality,explicit,acos,English
acos,restaurants,try their chef  s specials - - they are to die for .,chef  s specials, food quality,explicit,acos,English
acos,restaurants,"service is not exactly five star , but thats not really a big deal .",service, service general,explicit,acos,English
acos,restaurants,downstairs lounge is always a good attraction,downstairs lounge, ambience general,explicit,acos,English
acos,restaurants,the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food, food style_options,explicit,acos,English
acos,restaurants,it is also extremely well priced .,NULL, food prices,implicit,acos,English
acos,restaurants,the staff is incredibly helpful and attentive .,staff, service general,explicit,acos,English
acos,restaurants,the bar is very well stocked with interesting beers and well priced wines .,bar, drinks style_options,explicit,acos,English
acos,restaurants,this is one of my favorite restaurants and it is not to be missed .,NULL, restaurant general,implicit,acos,English
acos,restaurants,your friends will thank you for introducing them to this gem !,NULL, restaurant general,implicit,acos,English
acos,restaurants,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",leon, restaurant general,explicit,acos,English
acos,restaurants,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",waitress, service general,explicit,acos,English
acos,restaurants,"then , to top things off , she dropped used silverware on my boyfriend  s jacket and did not stop to apologize or clean the mess that was left on clothes .",NULL, service general,implicit,acos,English
acos,restaurants,such a disappointment . . .,NULL, service general,implicit,acos,English
acos,restaurants,"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",service, service general,explicit,acos,English
acos,restaurants,i loved everythig about it - especially the shows and actors .,shows, ambience general,explicit,acos,English
acos,restaurants,our server was very helpful and friendly .,server, service general,explicit,acos,English
acos,restaurants,the food was good too .,food, food quality,explicit,acos,English
acos,restaurants,the tuna and wasabe potatoes are excellent .,tuna, food quality,explicit,acos,English
acos,restaurants,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere, location general,explicit,acos,English
acos,restaurants,"inside is a little cramped , but to be expected .",NULL, ambience general,implicit,acos,English
acos,restaurants,service was prompt and courteous .,service, service general,explicit,acos,English
acos,restaurants,this was a repeat visit and we  ll definitely be back again .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"great service , great food .",service, service general,explicit,acos,English
acos,restaurants,prices are in line .,NULL, restaurant prices,implicit,acos,English
acos,restaurants,but too far east !,NULL, location general,implicit,acos,English
acos,restaurants,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria  s .",pizza, food quality,explicit,acos,English
acos,restaurants,"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection, food style_options,explicit,acos,English
acos,restaurants,"also , because it is so thin , it gets cold very quickly and its not that filling .",NULL, food quality,implicit,acos,English
acos,restaurants,wait staff is blantently unappreciative of your business but its the best pie on the uws !,wait staff, service general,explicit,acos,English
acos,restaurants,by far the best salad i have had in a fast food restaurant .,salad, food quality,explicit,acos,English
acos,restaurants,over 100 different choices to create your own .,NULL, food style_options,implicit,acos,English
acos,restaurants,a must try !,NULL, restaurant general,implicit,acos,English
acos,restaurants,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",restaurant, restaurant general,explicit,acos,English
acos,restaurants,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL, food quality,implicit,acos,English
acos,restaurants,"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie, food quality,explicit,acos,English
acos,restaurants,"with so many poor experiences to be had in the theater district , is truly an excellent find !",NULL, restaurant general,implicit,acos,English
acos,restaurants,the staff is no nonsense .,staff, service general,explicit,acos,English
acos,restaurants,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,bagels, food quality,explicit,acos,English
acos,restaurants,worth visiting the 1st ave spot because it is the original store .,1st ave spot, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !",uni hand roll, food quality,explicit,acos,English
acos,restaurants,the sake menu should not be overlooked !,sake menu, drinks style_options,explicit,acos,English
acos,restaurants,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",NULL, restaurant general,implicit,acos,English
acos,restaurants,try the lobster teriyaki and the rose special roll .,lobster teriyaki, food quality,explicit,acos,English
acos,restaurants,"service was very good - prompt , attentive and non - intrusive .",service, service general,explicit,acos,English
acos,restaurants,"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",food, food quality,explicit,acos,English
acos,restaurants,wine list selection is good and wine - by - the - glass was generously filled to the top .,wine list selection, drinks style_options,explicit,acos,English
acos,restaurants,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,traditional french decour, ambience general,explicit,acos,English
acos,restaurants,"i  ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice, restaurant general,explicit,acos,English
acos,restaurants,"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",service, service general,explicit,acos,English
acos,restaurants,"seating is always prompt , though the restaurant does fill up in the evening .",seating, service general,explicit,acos,English
acos,restaurants,"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .",food, food quality,explicit,acos,English
acos,restaurants,"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",NULL, service general,implicit,acos,English
acos,restaurants,"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",decor, ambience general,explicit,acos,English
acos,restaurants,i have never been disappointed in the red eye .,red eye, restaurant general,explicit,acos,English
acos,restaurants,"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",live jazz band, ambience general,explicit,acos,English
acos,restaurants,it  s simply the best meal in nyc .,meal, food quality,explicit,acos,English
acos,restaurants,you can not go wrong at the red eye grill .,red eye grill, restaurant general,explicit,acos,English
acos,restaurants,"if we were to move from the upper east side , we would genuinely miss this restaurant .",restaurant, restaurant general,explicit,acos,English
acos,restaurants,the restaurant is cute but not upscale .,restaurant, restaurant general,explicit,acos,English
acos,restaurants,the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food, food quality,explicit,acos,English
acos,restaurants,i would highly recommend it .,NULL, restaurant general,implicit,acos,English
acos,restaurants,it  s one of our favorite places to eat in ny .,NULL, restaurant general,implicit,acos,English
acos,restaurants,we had a great time at the jekyll and hyde pub last night .,jekyll and hyde pub, restaurant general,explicit,acos,English
acos,restaurants,after really enjoying ourselves at the bar we sat down at a table and had dinner .,bar, restaurant miscellaneous,explicit,acos,English
acos,restaurants,the server was really cool and served us our food and drinks with a smile .,server, service general,explicit,acos,English
acos,restaurants,the place  s decor and hidden bathrooms made for a good laugh .,decor, ambience general,explicit,acos,English
acos,restaurants,i highly recommend visiting this restaurant and having dinner and drinks !,restaurant, restaurant general,explicit,acos,English
acos,restaurants,"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",beers, drinks style_options,explicit,acos,English
acos,restaurants,the entertainment was great they have shows that go on through out the dinner .,entertainment, ambience general,explicit,acos,English
acos,restaurants,you will not be disapointed at all .,NULL, restaurant general,implicit,acos,English
acos,restaurants,we were not dissappointed in the least bit by this little gem .,NULL, restaurant general,implicit,acos,English
acos,restaurants,the bagel was huge .,bagel, food style_options,explicit,acos,English
acos,restaurants,the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,bagel, food style_options,explicit,acos,English
acos,restaurants,i loved it and would highly recommend .,NULL, restaurant general,implicit,acos,English
acos,restaurants,this was my frist time at cafe st . bart  s and i must say how delicious the food and the service was .,food, food quality,explicit,acos,English
acos,restaurants,i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster roll, food quality,explicit,acos,English
acos,restaurants,"other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza, food quality,explicit,acos,English
acos,restaurants,"i highly recommend cafe st . bart  s for their food , the ambience and wonderful service .",food, food quality,explicit,acos,English
acos,restaurants,all the staff is absolutely professional ! !,staff, service general,explicit,acos,English
acos,restaurants,"( that is a must , but not every restaurant can do . . . )",NULL, service general,implicit,acos,English
acos,restaurants,"there  s nice and quiet , small but enough for 6 ( or more ) .",NULL, ambience general,implicit,acos,English
acos,restaurants,this restaurant was way overhyped .,restaurant, restaurant general,explicit,acos,English
acos,restaurants,my chow fun and chow see was really bland and oily .,chow fun and chow see, food quality,explicit,acos,English
acos,restaurants,okay - i do n  t mind the oily part ( cause most are cooked that way ) but it was way too bland .,NULL, food quality,implicit,acos,English
acos,restaurants,the scallion pancakes and fried dumplings were nothing out of the ordinary .,scallion pancakes, food quality,explicit,acos,English
acos,restaurants,the service was the only thing good about this restaurant .,service, service general,explicit,acos,English
acos,restaurants,"it  s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",sushi, food quality,explicit,acos,English
acos,restaurants,i definitely would n  t go back .,NULL, restaurant general,implicit,acos,English
acos,restaurants,their pad penang is delicious and everything else is fantastic .,pad penang, food quality,explicit,acos,English
acos,restaurants,the price is reasonable although the service is poor .,service, service general,explicit,acos,English
acos,restaurants,"great for a romantic evening , or a fun evening with friends . . .",NULL, restaurant miscellaneous,implicit,acos,English
acos,restaurants,i will be going back very soon .,NULL, restaurant general,implicit,acos,English
acos,restaurants,keep up the good work .,NULL, restaurant general,implicit,acos,English
acos,restaurants,it was wonderful .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"the salads are delicious , both refreshing and very spicy .",salads, food quality,explicit,acos,English
acos,restaurants,we had pam  s special fried fish and it was amazing .,pam  s special fried fish, food quality,explicit,acos,English
acos,restaurants,too large for just two people but nothing was left .,NULL, food style_options,implicit,acos,English
acos,restaurants,"great vibe , lots of people .",vibe, ambience general,explicit,acos,English
acos,restaurants,"my husbands was perfect , my was well done and dry .",NULL, food quality,implicit,acos,English
acos,restaurants,"i did n  t complain , i liked the atmosphere so much .",atmosphere, ambience general,explicit,acos,English
acos,restaurants,on a hot day it was fabulous to stop in and enjoy lunch .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"ambience is so cute and quaint , good for business although we were there on vacation .",ambience, ambience general,explicit,acos,English
acos,restaurants,salads were fantastic .,salads, food quality,explicit,acos,English
acos,restaurants,although we were looking for regular lettuce and some walnuts the salads we got were great .,salads, food quality,explicit,acos,English
acos,restaurants,ingredients are organic which is a real plus for me .,ingredients, food quality,explicit,acos,English
acos,restaurants,we will be back .,NULL, restaurant general,implicit,acos,English
acos,restaurants,the spicy tuna roll is huge and probably the best that i  ve had at this price range .,spicy tuna roll, food style_options,explicit,acos,English
acos,restaurants,the yellowtail was particularly good as well .,yellowtail, food quality,explicit,acos,English
acos,restaurants,"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",all you can eat deal, food style_options,explicit,acos,English
acos,restaurants,"in any event , this is a place i  ll be sure to stop by again when i  m in this part of town .",place, restaurant general,explicit,acos,English
acos,restaurants,big wong gets big ups for a fine establishment .,big wong, restaurant general,explicit,acos,English
acos,restaurants,"they have it all - - great price , food , and service .",food, food quality,explicit,acos,English
acos,restaurants,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere, ambience general,explicit,acos,English
acos,restaurants,the food is prepared quickly and efficiently .,NULL, service general,implicit,acos,English
acos,restaurants,"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",NULL, food prices,implicit,acos,English
acos,restaurants,the takeout is great too since they give high quality tupperware as well .,takeout, service general,explicit,acos,English
acos,restaurants,enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,caesar salad, food quality,explicit,acos,English
acos,restaurants,we both opted for a pasta dish and they were served timely and fresh .,pasta dish, food quality,explicit,acos,English
acos,restaurants,"we concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake, food quality,explicit,acos,English
acos,restaurants,we  d go back again,NULL, restaurant general,implicit,acos,English
acos,restaurants,i recently went to this restaurant with some co - workers for lunch and had an amazing time .,restaurant, restaurant general,explicit,acos,English
acos,restaurants,"the staff was accomodating , the food was absolutely delicious and the place is lovely .",staff, service general,explicit,acos,English
